[00:00:40.400 --> 00:00:47.680]   Thanks for coming out.
[01:09:27.200 --> 01:09:41.200]   Then it was over, just like that, it was over. We were done for the day. In fact, we were done with the film altogether. I was handed two crisp $50 bills and an envelope and sent home.
[01:09:41.200 --> 01:09:52.200]   That day I was certain of one thing, which was the first sense of certainty I'd had in some time. I was certain that my career in porn films was over.
[01:09:52.200 --> 01:10:02.200]   I hadn't earned enough money to take a trip across the country, but I had earned enough money to go to Provincetown at last.
[01:10:02.200 --> 01:10:14.200]   Maybe, Provincetown at last, maybe that would be enough of a trip to make me feel like I had left Meg and allow me to return to her at last, triumphant man.
[01:10:14.200 --> 01:10:23.200]   To make that short odyssey might be enough for now. I had to learn how to hang out and be on my own, spend money without being self-destructive.
[01:10:23.200 --> 01:10:34.200]   I needed a vacation. I needed to relax and learn how to laugh alone. I needed to learn how to enjoy without needing a witness. I had no trouble crying.
[01:10:34.200 --> 01:10:46.200]   My tears came out at random like gushing streams in the spring. Had the film been about a man crying at the slightest cue instead of getting erect, I could have become an overnight star.
[01:10:46.200 --> 01:10:54.200]   I could cry, but I didn't laugh and I couldn't laugh. My laughter was always short circuited by instant report on the event.
[01:10:54.200 --> 01:11:09.200]   It was as though I was all things that could make me laugh. It was as though I saw all things that could make me laugh coming at me in slow motion so that I had plenty of time to analyze them before they got to me.
[01:11:09.200 --> 01:11:24.200]   Then by the time they hit, by the time they got there, it was always, "Yes, yes, I see, I see, that's funny, yes, I understand, oh yes, I see why they're laughing now."
[01:11:24.200 --> 01:11:37.200]   Although that old loneliness was still there, I wanted to be laughing at it as well as crying. Thank you.
